Date,Year,dd,hr,Ts_C,VPD,u,SWC,"P, kPa","O3, ppb",PPFD,RH,"precip, mm"
hourly,2015,71,0,5.36,-0.09,2.9,0.297,101.18,25.123,0,109.6,5
12/03/2015,2015,71,1,5.85,-0.09,3.3,0.297,101.18,24.77342857,0,109.8,5
12/03/2015,2015,71,2,5.88,0,2.34,0.297,101.18,25.40285714,0,100,5
12/03/2015,2015,71,3,5.19,0,0.93,0.297,101.18,25.46164286,0,100,5
12/03/2015,2015,71,4,5.9,0,0.82,0.297,101.18,25.21907143,0,100,5
12/03/2015,2015,71,5,8.4,0.03,0.83,0.297,101.18,25.25185714,0,97.6,5
12/03/2015,2015,71,6,10.13,0.02,1.07,0.297,101.18,23.9655,0,98,5
12/03/2015,2015,71,7,10.38,0.05,1.67,0.297,101.18,24.20471429,4.58,96.3,5
12/03/2015,2015,71,8,10.57,0.05,3.59,0.297,101.18,27.15121429,77.99,95.7,5
12/03/2015,2015,71,9,10.75,0.22,3.42,0.297,101.18,28.79071429,120.94,83.1,5
12/03/2015,2015,71,10,10.64,0.16,3.88,0.297,101.18,26.63607143,256.66,87.6,5
12/03/2015,2015,71,11,10.61,0.16,6.24,0.297,101.18,26.11285714,368.53,87.4,5
12/03/2015,2015,71,12,10.51,0.12,6.19,0.297,101.18,26.03485714,324.32,90.3,5
12/03/2015,2015,71,13,10.27,-0.13,5.85,0.297,101.18,27.473,370.06,110,5
12/03/2015,2015,71,14,9.89,-0.14,5.01,0.297,101.18,29.21878571,193.4,111.5,5
12/03/2015,2015,71,15,9.56,-0.15,5.12,0.297,101.18,26.29342857,116.78,113,5
12/03/2015,2015,71,16,9.36,-0.15,4.94,0.297,101.18,30.58507143,94.67,112.5,5
12/03/2015,2015,71,17,9.34,-0.15,5,0.297,101.18,30.64828571,52.21,112.5,5
12/03/2015,2015,71,18,9.25,-0.14,5.02,0.297,101.18,31.78157143,22.75,112.3,5
12/03/2015,2015,71,19,8.26,-0.16,4.33,0.297,101.18,31.10035714,0,114.4,5
12/03/2015,2015,71,20,5.76,-0.14,4.84,0.297,101.18,27.71071429,0,114.8,5
12/03/2015,2015,71,21,4.87,-0.12,3.55,0.297,101.18,26.10742857,0,113.9,5
12/03/2015,2015,71,22,4.67,-0.11,1.89,0.297,101.18,26.09778571,0,113.3,5
12/03/2015,2015,71,23,4.27,-0.11,1.31,0.297,101.18,25.79321429,0,113,5
13/03/2015,2015,72,0,4.18,-0.12,0.39,0.297,101.18,25.123,0,114.3,5
13/03/2015,2015,72,1,4.12,-0.12,0.93,0.297,101.18,24.77342857,0,114.6,5
13/03/2015,2015,72,2,4.01,-0.12,0.56,0.297,101.18,25.40285714,0,114.9,5
13/03/2015,2015,72,3,3.69,-0.12,0.22,0.297,101.18,25.46164286,0,115.2,5
13/03/2015,2015,72,4,3.61,-0.12,0.26,0.297,101.18,25.21907143,0,115.7,5
13/03/2015,2015,72,5,3.46,-0.13,0.31,0.297,101.18,25.25185714,0,116,5
13/03/2015,2015,72,6,3.1,-0.12,0.55,0.297,101.18,23.9655,0,116.3,5
13/03/2015,2015,72,7,2.67,-0.12,0.65,0.297,101.18,24.20471429,2.28,116.3,5
13/03/2015,2015,72,8,3.17,-0.13,0.91,0.297,101.18,27.15121429,77.5,116.3,5
13/03/2015,2015,72,9,5.11,-0.12,2.32,0.297,101.18,28.79071429,242.16,114.2,5
13/03/2015,2015,72,10,5.68,0,3.23,0.297,101.18,26.63607143,344.31,100,5
13/03/2015,2015,72,11,5.74,0,3.34,0.297,101.18,26.11285714,337.08,100,5
13/03/2015,2015,72,12,5.98,0,3.98,0.297,101.18,26.03485714,501.53,100,5
13/03/2015,2015,72,13,6.44,0.01,3.97,0.297,101.18,27.473,774.34,98.9,5
13/03/2015,2015,72,14,6.62,0,3.58,0.297,101.18,29.21878571,648.15,100,5
13/03/2015,2015,72,15,6.1,0,3.23,0.297,101.18,26.29342857,361.84,100,5
13/03/2015,2015,72,16,5.88,0.11,3.4,0.297,101.18,30.58507143,213.08,87.9,5
13/03/2015,2015,72,17,5.58,0.07,2.71,0.297,101.18,30.64828571,56.97,92.7,5
13/03/2015,2015,72,18,5.52,0.07,2.26,0.297,101.18,31.78157143,27.2,92.2,5
13/03/2015,2015,72,19,5.54,-0.09,1.94,0.297,101.18,31.10035714,2.36,109.7,5
13/03/2015,2015,72,20,5.48,-0.1,1.29,0.297,101.18,27.71071429,0,111.3,5
13/03/2015,2015,72,21,4.39,-0.1,1.27,0.297,101.18,26.10742857,0,111.4,5
13/03/2015,2015,72,22,4.49,-0.1,0.96,0.297,101.18,26.09778571,0,111.4,5
13/03/2015,2015,72,23,3.64,-0.1,0.65,0.297,101.18,25.79321429,0,112.3,5
14/03/2015,2015,73,0,0.97,-0.09,0.57,0.297,101.18,25.123,0,114.3,5
14/03/2015,2015,73,1,1.81,-0.11,1.28,0.297,101.18,24.77342857,0,116.1,5
14/03/2015,2015,73,2,4.27,-0.1,3.38,0.297,101.18,25.40285714,0,112.3,5
14/03/2015,2015,73,3,4.14,0,4.44,0.297,101.18,25.46164286,0,100,5
14/03/2015,2015,73,4,3.66,0,3.37,0.297,101.18,25.21907143,0,100,5
14/03/2015,2015,73,5,3.25,0,2.81,0.297,101.18,25.25185714,0,100,5
14/03/2015,2015,73,6,3.01,0.07,3.75,0.297,101.18,23.9655,0,91.3,5
14/03/2015,2015,73,7,2.36,0.09,3.67,0.297,101.18,24.20471429,9.77,87.3,5
14/03/2015,2015,73,8,2.49,0.18,3.65,0.297,101.18,27.15121429,233.38,76.03,5
14/03/2015,2015,73,9,3.17,0.21,4.2,0.297,101.18,28.79071429,636.3,72.29,5
14/03/2015,2015,73,10,4,0.2,3.07,0.297,101.18,26.63607143,779.12,75.08,5
14/03/2015,2015,73,11,4.78,0.25,3.72,0.297,101.18,26.11285714,1149.18,70.95,5
14/03/2015,2015,73,12,5.59,0.31,3.93,0.297,101.18,26.03485714,1305.4,65.82,5
14/03/2015,2015,73,13,5.81,0.31,3.76,0.297,101.18,27.473,1101.41,66.1,5
14/03/2015,2015,73,14,6.62,0.33,3.9,0.297,101.18,29.21878571,1369.36,66.6,5
14/03/2015,2015,73,15,5.88,0.26,3.46,0.297,101.18,26.29342857,593.6,72.08,5
14/03/2015,2015,73,16,5.61,0.21,3.12,0.297,101.18,30.58507143,335.37,76.94,5
14/03/2015,2015,73,17,5.49,0.21,2.88,0.297,101.18,30.64828571,164.87,76.48,5
14/03/2015,2015,73,18,5.24,0.17,3.53,0.297,101.18,31.78157143,45.79,80.4,5
14/03/2015,2015,73,19,5.11,0.18,3.51,0.297,101.18,31.10035714,1.59,79.91,5
14/03/2015,2015,73,20,5,0.24,3.55,0.297,101.18,27.71071429,0,72.53,5
14/03/2015,2015,73,21,4.94,0.28,3.2,0.297,101.18,26.10742857,0,67.78,5
14/03/2015,2015,73,22,4.03,0.19,2.6,0.297,101.18,26.09778571,0,76.44,5
14/03/2015,2015,73,23,3.79,0.18,3.79,0.297,101.18,25.79321429,0,76.95,5
15/03/2015,2015,74,0,3.52,0.17,3.78,0.297,101.18,25.123,0,78.32,5
15/03/2015,2015,74,1,3.17,0.13,2.96,0.297,101.18,24.77342857,0,82.7,5
15/03/2015,2015,74,2,3.51,0.15,3.77,0.297,101.18,25.40285714,0,81.3,5
15/03/2015,2015,74,3,3.56,0.15,3.04,0.297,101.18,25.46164286,0,81.6,5
15/03/2015,2015,74,4,3.79,0.14,3.42,0.297,101.18,25.21907143,0,83.1,5
15/03/2015,2015,74,5,3.95,0.13,2.79,0.297,101.18,25.25185714,0,83.7,5
15/03/2015,2015,74,6,4.01,0.1,2.19,0.297,101.18,23.9655,0,87.1,5
15/03/2015,2015,74,7,4.21,0.11,2.99,0.297,101.18,24.20471429,5.87,86.9,5
15/03/2015,2015,74,8,4.52,0.11,3.61,0.297,101.18,27.15121429,61.93,87.2,5
15/03/2015,2015,74,9,5.05,0.12,3.45,0.297,101.18,28.79071429,153.43,86.1,5
15/03/2015,2015,74,10,5.43,0.14,4.1,0.297,101.18,26.63607143,290.24,84.5,5
15/03/2015,2015,74,11,6.06,0.16,4.39,0.297,101.18,26.11285714,557.19,82.9,5
15/03/2015,2015,74,12,6.56,0.2,4.54,0.297,101.18,26.03485714,716.51,79.87,5
15/03/2015,2015,74,13,6.6,0.2,4.62,0.297,101.18,27.473,712.57,79.56,5
15/03/2015,2015,74,14,6.9,0.21,4.28,0.297,101.18,29.21878571,684.67,79.05,5
15/03/2015,2015,74,15,6.92,0.23,4.04,0.297,101.18,26.29342857,520.19,77.1,5
15/03/2015,2015,74,16,6.77,0.17,3.81,0.297,101.18,30.58507143,372.44,82.5,5
15/03/2015,2015,74,17,6.48,0.16,3.33,0.297,101.18,30.64828571,270.05,83,5
15/03/2015,2015,74,18,6.26,0.15,3.09,0.297,101.18,31.78157143,92.26,84.4,5
15/03/2015,2015,74,19,5.81,0.11,2.29,0.297,101.18,31.10035714,5.32,87.7,5
15/03/2015,2015,74,20,5.62,0.09,2.31,0.297,101.18,27.71071429,0,89.8,5
15/03/2015,2015,74,21,5.74,0.11,2.79,0.297,101.18,26.10742857,0,88.4,5
15/03/2015,2015,74,22,5.82,0.14,2.67,0.297,101.18,26.09778571,0,84.9,5
15/03/2015,2015,74,23,5.54,0.16,2.83,0.297,101.18,25.79321429,0,82.4,5
16/03/2015,2015,75,0,5.43,0.12,3.23,0.297,101.18,25.123,0,86.4,5
16/03/2015,2015,75,1,5.15,0.12,2.95,0.297,101.18,24.77342857,0,86.3,5
16/03/2015,2015,75,2,4.56,0.11,2.69,0.297,101.18,25.40285714,0,86.9,5
16/03/2015,2015,75,3,4.09,0.11,2.8,0.297,101.18,25.46164286,0,87,5
16/03/2015,2015,75,4,4.09,0.09,2.68,0.297,101.18,25.21907143,0,88.8,5
16/03/2015,2015,75,5,4.64,0.08,3.67,0.297,101.18,25.25185714,0,90.1,5
16/03/2015,2015,75,6,4.45,0.07,2.28,0.297,101.18,23.9655,0,91.3,5
16/03/2015,2015,75,7,4.53,0.08,2.8,0.297,101.18,24.20471429,9.04,90.8,5
16/03/2015,2015,75,8,4.57,0.09,2.83,0.297,101.18,27.15121429,92.67,89.6,5
