,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,u_i,ustar,canopy_height,|,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,LAI_flag,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,fst_acc_day,fst_acc_day_prev,rsto_l,rb_l,gsto_l,gsto_l_bulk,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
0,100,0,7.12,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,36.884,3.442807471916669,0.227650830579372,1.0,|,0.61,0.0,0.0,30.61109710421452,1232.5382024205048,1.0,3.0,0.0,['NA'],0.6075717738473656,0.6075717738473656,0.0,0.0,0.0,1965.484180249281,35.35205321660247,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,6.702546841677012e-05,2.0133993345250948e-06,False,0,6.702546841677012e-05,2.0133993345250948e-06,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,54.661126903288135,26.67402591843099,228.2960569273796,263.56151629208244,180.0,400.0,0.0,3,31.61620569071591,127.3341791935471,1.4227292560822158,1.4227292560822158,0
1,100,1,7.58,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,36.426,3.160610138153008,0.20899092643352185,1.0,|,0.56,0.0,0.0,29.95717009519707,1204.4884167762682,1.0,3.0,0.0,['NA'],0.5929384742423044,0.5929384742423044,0.0,0.0,0.0,1965.484180249281,36.896531888995995,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,8.623164329575153e-05,2.8536520545161122e-06,False,0,0.00015325711171252165,4.867051389041207e-06,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,59.54158466251029,29.055635375433756,233.8602057991671,287.0937945324469,180.0,400.0,0.0,3,33.28276521282246,131.86944852236186,1.4977244345770107,1.4977244345770107,0
2,100,2,7.35,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,35.758,2.8784128043893458,0.19033102228767165,1.0,|,0.5099999999999999,0.0,0.0,29.10740212163504,1171.1566008621733,1.0,3.0,0.0,['NA'],0.5756360258529654,0.5756360258529654,0.0,0.0,0.0,1965.484180249281,38.66290405908919,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,7.5566365552093e-05,2.7179709906895895e-06,False,0,0.00022882347726461467,7.585022379730796e-06,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,65.37899492354072,31.90422707890766,240.15898561105422,315.24024497680455,180.0,400.0,0.0,3,32.43964126241889,129.5844747856276,1.45978385680885,1.45978385680885,0
3,100,3,6.34,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,34.787,2.652654937378417,0.17540309897099157,1.0,|,0.4700000000000001,0.0,0.0,28.056411056332063,1133.4315940443119,1.0,3.0,0.0,['NA'],0.556306655376806,0.556306655376806,0.0,0.0,0.0,1965.484180249281,40.27454390153384,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,4.003251518531243e-05,1.5106469086633834e-06,False,0,0.0002688559924499271,9.09566928839418e-06,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,70.94316470426757,34.61948044732532,245.8301637516294,342.0692019961069,180.0,400.0,0.0,3,28.96495385485797,119.95584711528977,1.3034229234686086,1.3034229234686086,0
4,100,4,6.86,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,33.849,2.652654937378417,0.17540309897099157,1.0,|,0.4700000000000001,0.0,0.0,27.299896307133114,1100.3525297444462,1.0,3.0,0.0,['NA'],0.5400709127697112,0.5400709127697112,0.0,0.0,0.0,1965.484180249281,40.27454390153384,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,6.386339222796214e-05,2.448329114309008e-06,False,0,0.00033271938467788924,1.1543998402703188e-05,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,70.94316470426757,34.61948044732532,245.8301637516294,342.0692019961069,180.0,400.0,0.0,3,30.70856862487631,124.83164644863402,1.3818855881194338,1.3818855881194338,0
5,100,5,6.6,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,32.895,2.652654937378417,0.17540309897099157,1.0,|,0.4700000000000001,0.0,0.0,26.530474431656792,1070.5620946137474,1.0,3.0,0.0,['NA'],0.5254492828302771,0.5254492828302771,0.0,0.0,0.0,1965.484180249281,40.27454390153384,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,6.076311476762904e-05,2.311082834593742e-06,False,0,0.00039348249944551827,1.3855081237296931e-05,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,70.94316470426757,34.61948044732532,245.8301637516294,342.0692019961069,180.0,400.0,0.0,3,29.825005578380114,122.3723881274233,1.3421252510271051,1.3421252510271051,0
6,100,6,10.07,24.11,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,30.77,2.596215470625685,0.1716711181418215,1.0,|,0.46,19.80097321122808,16.875915299561974,22.77705375035547,908.4229622545541,1.0,3.0,12.62428044450547,['A_j'],2.317822323639191,2.317822323639191,0.0,0.0,0.0,345.59193750576173,40.70995703019079,118.637026939659,355.911080818977,118.637026939659,355.911080818977,355.911080818977,12.62428044450547,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,1049.7556164691282,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,2.712432274965446e-06,5.542636177121693e-07,False,0,0.0003961949317204837,1.44093448550091e-05,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,345.59193750576173,72.48540741522991,35.37207784835414,155.57689367305483,349.5054889960224,180.0,400.0,0.02020625269257879,3,43.78579245948332,158.9267556813815,1.9703606606767492,1.9703606606767492,0
7,100,7,7.58,246.16,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,34.659,4.515157340218583,0.29855846633360267,1.0,|,0.8000000000000002,343.37626931595514,81.57747175766215,24.52224778973082,986.3866395374506,1.0,3.0,48.42642338465669,['A_p'],7.337310491011535,7.337310491011535,0.0,0.0,0.0,102.30129618608333,30.86985334926275,400.7769356648433,1202.33080699453,400.7769356648433,1202.33080699453,1202.33080699453,48.42642338465669,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,1011.293722087606,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0002960306832891132,9.329626330408606e-05,False,0,0.0006922256150095969,0.00010770560815909516,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,102.30129618608333,41.6791092637572,20.338944762803624,71.51381561510436,200.96565617271284,180.0,400.0,0.15113073160085913,3,33.28276521282246,131.86944852236186,1.4977244345770109,1.4977244345770109,0
8,100,8,8.82,459.01,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,37.996,4.910233607487708,0.32468233213779285,1.0,|,0.87,438.6070751995597,111.25602166613233,26.7647539758686,1071.9692679883362,1.0,3.0,55.559246774945876,['A_p'],8.949452739701464,8.949452739701464,0.0,0.0,0.0,89.1232156556877,29.601923606414324,460.037260755901,1380.111782267703,460.037260755901,1380.111782267703,1380.111782267703,55.559246774945876,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,1007.7827708612488,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0005724026151754758,0.0001921813921826647,False,0,0.0012646282301850727,0.00029988700034175986,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,89.12321565568772,38.32561771379972,18.70247794280793,64.37704873739656,184.7960056760578,180.0,400.0,0.26859351043864804,3,38.18504932985971,144.80172911215283,1.718327219843687,1.718327219843687,0
9,100,9,14.32,650.18,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,40.798,5.19243094125137,0.343342236283643,1.0,|,0.92,489.827588015131,124.17909475588282,26.785653729430084,1052.0568136305526,1.0,3.0,89.00531943803259,['A_c'],12.584278682085657,12.584278682085657,0.0,0.0,0.0,54.19061796566018,28.78628667786087,756.5885302504045,2269.7655907512135,756.5885302504045,2269.7655907512135,2269.7655907512135,89.00531943803259,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,989.1202148299967,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0009434337356087982,0.0004589578715403473,False,0,0.002208061965793871,0.0007588448718821071,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,54.19061796566018,36.24270370761496,17.68603892417707,43.79033260927606,174.7527444980112,180.0,400.0,0.3567535841746697,3,68.75389033396971,215.71049019906945,3.0939250650286363,3.0939250650286363,0
