,nL,g_sto_0,m,V_cmax_25,J_max_25,R_d_coeff,f_VPD_method,PARsun,PARshade,LAIsunfrac,layer_lai_frac,layer_lai,D_0,g_bv,Tleaf_C,eact,c_a,fO3_d,f_LS,f_SW,f_VPD
0,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1499111.7369962786,"[3.28, 3.28, 3.28]",0.05699,391.0,1.0,1.0,1,1
1,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1499111.7369962786,"[3.54, 3.54, 3.54]",0.07755,391.0,1.0,1.0,1,1
2,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1499111.7369962786,"[3.41, 3.41, 3.41]",0.07661,391.0,1.0,1.0,1,1
3,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1499111.7369962786,"[3.09, 3.09, 3.09]",0.06531,391.0,1.0,1.0,1,1
4,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1470000.0,"[3.22, 3.22, 3.22]",0.07418,391.0,1.0,1.0,1,1
5,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1440299.9687565085,"[3.15, 3.15, 3.15]",0.07272,391.0,1.0,1.0,1,1
6,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1394564.4481342551,"[2.66, 2.66, 2.66]",0.04788,391.0,1.0,1.0,1,1
7,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1555701.7709059792,"[2.94, 2.94, 2.94]",0.07694,391.0,1.0,1.0,1,1
8,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(52.736931267218296, 52.736931267218296, 52.736931267218296)","(32.14377829285742, 32.14377829285742, 32.14377829285742)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1663115.1493507598,"[2.8, 2.8, 2.8]",0.09764,391.0,1.0,1.0,1,1
9,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(338.88181428623835, 338.88181428623835, 338.88181428623835)","(105.96983699887606, 105.96983699887606, 105.96983699887606)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1650070.907567308,"[5.08, 5.08, 5.08]",0.25387,391.0,1.0,1.0,1,1
