Day,Hour,Tair,Maximum temperature (Tmax),Minimum temperature)Tmin,Maximum crown temperature(Tc max ),Minimum crown temperature (Tcmin),Crown temperature (Tc ),V component,Vd component,Vernalisation factor (VF),Td,Td (vernalised)
72,0,11.7 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,1,10.9 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,2,10.1 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,3,9.5 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,4,9.5 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,5,9.0 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,6,8.1 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,7,9.0 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,8,12.0 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,9,14.9 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,10,18.1 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,11,20.4 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,12,21.6 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,13,21.9 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,14,22.2 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,15,21.9 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,16,21.6 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,17,19.7 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,18,17.7 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,19,15.8 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,20,14.5 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,21,14.6 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,22,12.9 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
72,23,12.4 ,22.16 ,8.133333333,22.16333333,8.133333333,15.14833333,0.221459667,-3.918333333,0.577790866,15.00069444,8.667264227
73,0,12.4 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,1,11.9 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,2,11.8 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,3,11.2 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,4,11.6 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,5,11.2 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,6,10.9 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,7,10.5 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,8,10.2 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,9,11.5 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,10,12.9 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,11,14.4 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,12,14.0 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,13,14.4 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,14,15.0 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,15,13.9 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,16,12.9 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,17,12.3 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,18,11.4 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,19,10.1 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,20,8.9 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,21,8.0 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,22,7.1 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
73,23,7.6 ,15.01,7.122,15.01,7.122,11.066,0.5390652,-7.495,0.580484716,26.50904167,15.38809353
74,0,7.6 ,14.43166667,1.473666667,14.43166667,1.473666667,7.952666667,0.781282533,-7.784166667,0.582539143,34.88917361,20.3243093
74,1,6.5 ,14.43166667,1.473666667,14.43166667,1.473666667,7.952666667,0.781282533,-7.784166667,0.582539143,34.88917361,20.3243093
74,2,5.6 ,14.43166667,1.473666667,14.43166667,1.473666667,7.952666667,0.781282533,-7.784166667,0.582539143,34.88917361,20.3243093
74,3,4.7 ,14.43166667,1.473666667,14.43166667,1.473666667,7.952666667,0.781282533,-7.784166667,0.582539143,34.88917361,20.3243093
