mm,dd,hr,vd,NOT_EXIST
2,71,0,0.007825355,0.007825355
2,71,1,0.00917925,0.00917925
2,71,2,0.009159318,0.009159318
2,71,3,0.007019422,0.007019422
2,71,4,0.008897631,0.008897631
2,71,5,0.009727803,0.009727803
2,71,6,0.010976751,0.010976751
2,71,7,0.005920877,0.005920877
2,71,8,0.013376702,0.013376702
2,71,9,0.013734549,0.013734549
2,71,10,0.013501245,0.013501245
2,71,11,0.01492215,0.01492215
2,71,12,0.014889779,0.014889779
2,71,13,0.010598366,0.010598366
2,71,14,0.011841626,0.011841626
2,71,15,0.01219797,0.01219797
2,71,16,0.007270557,0.007270557
2,71,17,0.009966907,0.009966907
2,71,18,0.009363245,0.009363245
2,71,19,0.007413195,0.007413195
2,71,20,0.012631464,0.012631464
2,71,21,0.011569779,0.011569779
2,71,22,0.006232164,0.006232164
2,71,23,0.00559974,0.00559974
2,72,0,0.004639309,0.004639309
2,72,1,0.01151209,0.01151209
2,72,2,0.004798793,0.004798793
2,72,3,0.004344185,0.004344185
2,72,4,0.007048365,0.007048365
2,72,5,0.003037661,0.003037661
2,72,6,0.008640666,0.008640666
2,72,7,0.007547762,0.007547762
2,72,8,0.009098387,0.009098387
2,72,9,0.010629414,0.010629414
2,72,10,0.013761017,0.013761017
2,72,11,0.014475616,0.014475616
2,72,12,0.01316973,0.01316973
2,72,13,0.013019655,0.013019655
2,72,14,0.012339991,0.012339991
2,72,15,0.006585017,0.006585017
2,72,16,0.012611152,0.012611152
2,72,17,0.007822972,0.007822972
2,72,18,0.005756135,0.005756135
2,72,19,0.007383218,0.007383218
2,72,20,0.006834462,0.006834462
2,72,21,0.008927315,0.008927315
2,72,22,0.009196676,0.009196676
2,72,23,0.008294598,0.008294598
2,73,0,0.006992202,0.006992202
2,73,1,0.009688281,0.009688281
2,73,2,0.010847655,0.010847655
2,73,3,0.012497698,0.012497698
2,73,4,0.007321139,0.007321139
2,73,5,0.010940241,0.010940241
2,73,6,0.007044838,0.007044838
2,73,7,0.009383827,0.009383827
2,73,8,0.011962886,0.011962886
2,73,9,0.014306087,0.014306087
2,73,10,0.012210246,0.012210246
2,73,11,0.007412547,0.007412547
2,73,12,0.008261717,0.008261717
2,73,13,0.013850074,0.013850074
2,73,14,0.012881051,0.012881051
2,73,15,0.009813494,0.009813494
2,73,16,0.013794079,0.013794079
2,73,17,0.013261487,0.013261487
2,73,18,0.011746277,0.011746277
2,73,19,0.008756516,0.008756516
2,73,20,0.010327379,0.010327379
2,73,21,0.007213122,0.007213122
2,73,22,0.008416883,0.008416883
2,73,23,0.011055499,0.011055499
2,74,0,0.012871119,0.012871119
2,74,1,0.008933388,0.008933388
2,74,2,0.00722967,0.00722967
2,74,3,0.011668128,0.011668128
2,74,4,0.009033006,0.009033006
2,74,5,0.009214876,0.009214876
2,74,6,0.013239937,0.013239937
2,74,7,0.012281536,0.012281536
2,74,8,0.011319557,0.011319557
2,74,9,0.009310914,0.009310914
2,74,10,0.014537863,0.014537863
2,74,11,0.011329148,0.011329148
2,74,12,0.011486485,0.011486485
