,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,u_i,ustar,canopy_height,|,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,LAI_flag,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,fst_acc_day,fst_acc_day_prev,rsto_l,rb_l,gsto_l,gsto_l_bulk,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
0,71,0,5.36,0.0,0.0,3,3.0,-1.001,12.701908669196873,25.847206615340774,9.928416465043268,0.6565026575089644,1.0,|,1.759126553860048,0.0,0.0,23.738721637490876,1037.2121629977848,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,20.81761716752485,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,18.954456311196402,9.249565231415067,200.07073613281636,63.97536936006462,,,0.0,3,,,,0,0
1,71,1,5.85,0.0,0.0,3,3.0,-1.001,12.701908669196873,25.41792272808569,11.29785321884234,0.7470547481998561,1.0,|,2.0017646992200544,0.0,0.0,23.527444356627417,1026.175444187715,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,19.51520180679289,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,16.65694645529381,8.128405809425361,195.58432857824937,56.22077913460224,,,0.0,3,,,,0,0
2,71,2,5.88,0.0,0.0,3,3.0,-1.001,12.701908669196873,26.266369158688846,8.011205009724568,0.5297297305417161,1.0,|,1.4194331503560387,0.0,0.0,23.785976539228653,1037.340068635737,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,23.17512514047584,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,23.490565513875882,11.463136397907562,208.7437469624479,79.28571416418265,,,0.0,3,,,,0,0
3,71,3,5.19,0.0,0.0,3,3.0,-1.001,12.701908669196873,27.07919371850991,3.183940452582842,0.2105336108563231,1.0,|,0.5641336879620155,0.0,0.0,22.753302687825002,994.76360539573,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,36.761103730307724,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,59.105293873623175,28.84273029150934,269.3115049516691,199.4930872518144,,,0.0,3,,,,0,0
4,71,4,5.9,0.0,0.0,3,3.0,-1.001,12.701908669196873,26.94648816207608,2.807345345288097,0.18563178591632787,1.0,|,0.49740819798801356,0.0,0.0,22.37805281892067,975.8685772687977,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,39.14921790246922,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,67.03405280788972,32.71187703793134,281.2134969475549,226.25435505388708,,,0.0,3,,,,0,0
5,71,5,8.4,0.0,0.0,3,3.0,-1.001,12.701908669196873,26.96918125913512,2.841581264133073,0.18789558818360014,1.0,|,0.5034741516220137,0.0,0.0,22.422495432008084,969.1242901175021,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,38.91266457123116,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,66.22641361743322,32.317758037474334,280.02444836182974,223.52839896890052,,,0.0,3,,,,0,0
6,71,6,10.13,0.0,0.0,3,3.0,-1.001,12.701908669196873,25.361903002384746,3.663243316412517,0.2422268425981352,1.0,|,0.6490570388380178,0.0,0.0,21.582063002593323,927.1032607970158,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,34.27189572501732,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,51.37189093688743,25.068915113181017,257.1913001921754,173.39118798522182,,,0.0,3,,,,0,0
7,71,7,10.38,1.0021881838074398,0.0,3,3.0,-1.001,12.701908669196873,25.255334514190277,5.717398447111124,0.3780549786344727,1.0,|,1.0130142568780278,0.7189053998843062,0.7069289550881989,22.30839342194463,957.4593473370978,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,27.432903832135263,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03183045159745639,0.04476701031473451,0.01,1.0,1.0,1.0,100000.0,32.9149241332153,16.062119264133944,226.01665691574647,111.09495278095052,,,0.07566084527817273,3,,,,0,0
8,71,8,10.57,17.065645514223192,0.0,3,3.0,-1.001,12.701908669196873,27.81102806790583,12.290694865346666,0.8127050139507525,1.0,|,2.1776773546060593,12.20366088976635,12.04670178802627,25.86668266453248,1109.4349682785305,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,18.710387944474416,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42406142227702137,0.5415481458015394,0.01,1.0,1.0,1.0,100000.0,15.311399248598768,7.47179364097596,192.92687671082845,51.679267728185906,,,0.17058651340912875,3,,,,0,0
9,71,9,10.75,26.46389496717724,0.0,3,3.0,-1.001,12.701908669196873,29.518469283823922,11.708684244982063,0.7742203754071236,1.0,|,2.074556142828057,18.888394398515274,18.6992632688189,27.379539135727285,1173.5775888143892,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,19.16977270902415,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754341784677981,0.7016237485162077,0.01,1.0,1.0,1.0,100000.0,16.07249219370455,7.843198588042015,194.43277689589203,54.24812021759865,,,0.24745698383523287,3,,,,0,0
