,dd,hr,Ts_C,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref
0,71,0,5.36,101.18,5,2.9,25.123,,1097.6952158131292,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.09,1.1005846104644295,391.0,,,0.297,,-0.09,0.8947690862890734,0.9847690862890733,True,0.0,,,,,,
1,71,1,5.85,101.18,5,3.3,24.77342857,,1080.5204203877468,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.09,1.0972189074924354,391.0,,,0.297,,-0.18,0.9257458484297693,1.0157458484297692,True,0.0,,,,,,
2,71,2,5.88,101.18,5,2.34,25.40285714,,1107.8545177950455,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.0,1.0,391.0,,,0.297,,-0.18,0.9276727190716544,0.9276727190716544,True,0.0,,,,,,
3,71,3,5.19,101.18,5,0.93,25.46164286,,1113.170953606876,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.0,1.0,391.0,,,0.297,,-0.18,0.884237604458392,0.884237604458392,True,0.0,,,,,,
4,71,4,5.9,101.18,5,0.82,25.21907143,,1099.7605357167663,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.0,1.0,391.0,,,0.297,,-0.18,0.9289592623753128,0.9289592623753128,True,0.0,,,,,,
5,71,5,8.4,101.18,5,0.83,25.25185714,,1091.412336292287,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.03,0.9727942499176814,391.0,,,0.297,,-0.15,1.1027080638918816,1.0727080638918816,True,0.0,,,,,,
6,71,6,10.13,101.18,5,1.07,23.9655,,1029.4888488631084,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.02,0.9838593371453466,391.0,,,0.297,,-0.13,1.239106484045908,1.219106484045908,True,0.0,,,,,,
7,71,7,10.38,101.18,5,1.67,24.20471429,,1038.8480025543745,0.0,,,4.198881407072477,,1543.2093362509117,694.4442013129103,3173.61,232.1347680854751,462.30943322743525,0.05,0.9603173379597484,391.0,,,0.297,,-0.08,1.25999611490991,1.2099961149099099,True,0.11349147443502886,,,,,,
8,71,8,10.57,101.18,5,3.59,27.15121429,,1164.5291727281556,0.0,,,4.1995728359220506,,1543.2093362509117,694.4442013129103,3173.61,403.9770192486857,290.46718206422463,0.05,0.9608174627229568,391.0,,,0.297,,-0.03,1.2760786685780718,1.2260786685780718,True,0.2566223994629603,,,,,,
9,71,9,10.75,101.18,5,3.42,28.79071429,,1234.065222544684,0.0,,,4.185543538556384,,1543.2093362509117,694.4442013129103,3173.61,462.8287683651435,231.6154329477668,0.22,0.8296529251422812,391.0,,,0.297,,0.19,1.291480937866138,1.071480937866138,True,0.3783665880684558,,,,,,
10,71,10,10.64,101.18,5,3.88,26.63607143,,1142.1526432615603,0.0,,,4.190423616091034,,1543.2093362509117,694.4442013129103,3173.61,494.54205330267826,199.90214801023205,0.16,0.8751997919973289,391.0,,,0.297,,0.35,1.2820491452752665,1.1220491452752666,True,0.4704273749898351,,,,,,
11,71,11,10.61,101.18,5,6.24,26.11285714,,1119.83563578134,0.0,,,4.190306655106465,,1543.2093362509117,694.4442013129103,3173.61,511.56135685211063,182.88284446079965,0.16,0.8749499183793886,391.0,,,0.297,,0.51,1.2794873695918314,1.1194873695918315,True,0.5265309697360498,,,,,,
12,71,12,10.51,101.18,5,6.19,26.03485714,,1116.8842500479807,0.0,,,4.193401398328259,,1543.2093362509117,694.4442013129103,3173.61,516.3122567252831,178.1319445876272,0.12,0.9055847103604533,391.0,,,0.297,,0.63,1.270980584374938,1.1509805843749379,True,0.5428540050407197,,,,,,
13,71,13,10.27,101.18,5,5.85,27.473,,1179.5779856943561,0.0,,,4.213114550983462,,1543.2093362509117,694.4442013129103,3173.61,509.1313118344469,185.31288947846343,-0.13,1.1039362379988868,391.0,,,0.297,,0.5,1.2507668403525674,1.3807668403525675,True,0.5182840930229226,,,,,,
14,71,14,9.89,101.18,5,5.01,29.21878571,,1256.2191630645764,0.0,,,4.212672561009506,,1543.2093362509117,694.4442013129103,3173.61,489.45875253905916,204.98544877385115,-0.14,1.1148162547468612,391.0,,,0.297,,0.36,1.2193395465534231,1.3593395465534233,True,0.454495632582972,,,,,,
15,71,15,9.56,101.18,5,5.12,26.29342857,,1131.7672328147457,0.0,,,4.212436952800533,,1543.2093362509117,694.4442013129103,3173.61,453.91147628246455,240.53272503044576,-0.15,1.1257742487288542,391.0,,,0.297,,0.21,1.1926129674077546,1.3426129674077545,True,0.3558357018844355,,,,,,
16,71,16,9.36,101.18,5,4.94,30.58507143,,1317.4275473965017,0.0,,,4.211835431803907,,1543.2093362509117,694.4442013129103,3173.61,384.83902212258226,309.60517919032804,-0.15,1.1274787157558424,391.0,,,0.297,,0.06,1.1766670154356764,1.3266670154356763,True,0.22902781216117382,,,,,,
17,71,17,9.34,101.18,5,5.0,30.64828571,,1320.2439173549553,0.0,,,4.21177600008823,,1543.2093362509117,694.4442013129103,3173.61,147.76537039246617,546.6788309204442,-0.15,1.12765058101734,391.0,,,0.297,,-0.09,1.175082783051524,1.325082783051524,True,0.08271371153788129,,,,,,
18,71,18,9.25,101.18,5,5.02,31.78157143,,1369.499067583252,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.14,1.1198653810345633,391.0,,,0.297,,-0.23,1.1679769320520557,1.3079769320520556,True,0.0,,,,,,
19,71,19,8.26,101.18,5,4.33,31.10035714,,1344.8595039144336,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.16,1.1464837107867112,391.0,,,0.297,,-0.39,1.0922716194223747,1.2522716194223746,True,0.0,,,,,,
20,71,20,5.76,101.18,5,4.84,27.71071429,,1209.0233854094533,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.14,1.152176165269384,391.0,,,0.297,,-0.53,0.9199863838871901,1.0599863838871901,True,0.0,,,,,,
21,71,21,4.87,101.18,5,3.55,26.10742857,,1142.7181509343409,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.138774889791928,391.0,,,0.297,,-0.65,0.8647097481390321,0.9847097481390321,True,0.0,,,,,,
22,71,22,4.67,101.18,5,1.89,26.09778571,,1143.1184126155617,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.11,1.1290021646463468,391.0,,,0.297,,-0.76,0.8526988698333826,0.9626988698333826,True,0.0,,,,,,
23,71,23,4.27,101.18,5,1.31,25.79321429,,1131.406749419435,0.0,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.11,1.132671154649966,391.0,,,0.297,,-0.87,0.8291176804047524,0.9391176804047524,True,0.0,,,,,,
24,72,0,4.18,101.18,5,0.39,25.123,,1102.3657539974565,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.1456501782338449,391.0,,,0.297,,-0.12,0.8238918857163157,0.9438918857163157,True,0.0,,,,,,
25,72,1,4.12,101.18,5,0.93,24.77342857,,1087.2622255858237,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.146265800247812,391.0,,,0.297,,-0.24,0.8204241852619608,0.9404241852619608,True,0.0,,,,,,
26,72,2,4.01,101.18,5,0.56,25.40285714,,1115.3292181424138,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.147402009646328,391.0,,,0.297,,-0.36,0.814100162459959,0.934100162459959,True,0.0,,,,,,
27,72,3,3.69,101.18,5,0.22,25.46164286,,1119.202439051213,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.15076383544958,391.0,,,0.297,,-0.48,0.7959468505305545,0.9159468505305545,True,0.0,,,,,,
28,72,4,3.61,101.18,5,0.26,25.21907143,,1108.860303120984,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.1516176237950322,391.0,,,0.297,,-0.6,0.7914647189183281,0.9114647189183281,True,0.0,,,,,,
29,72,5,3.46,101.18,5,0.31,25.25185714,,1110.9039560503725,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.13,1.166002503839266,391.0,,,0.297,,-0.73,0.7831207180216638,0.9131207180216638,True,0.0,,,,,,
30,72,6,3.1,101.18,5,0.55,23.9655,,1055.6872438224118,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.12,1.157189234585773,391.0,,,0.297,,-0.85,0.7634110587549173,0.8834110587549173,True,0.0,,,,,,
31,72,7,2.67,101.18,5,0.65,24.20471429,,1067.886934102827,4.758333333333333,,,4.195984415327877,,1543.2093362509117,694.4442013129103,3173.61,246.0534305424394,448.39077077047097,-0.12,1.1620649682626893,391.0,,,0.297,,-0.97,0.740443794154782,0.860443794154782,True,0.11977457314286599,,,,,,
32,72,8,3.17,101.18,5,0.91,27.15121429,,1195.715897822931,4.758333333333333,,,4.197447591796072,,1543.2093362509117,694.4442013129103,3173.61,407.894290383744,286.5499109291663,-0.13,1.169445389969295,391.0,,,0.297,,-1.1,0.7672088336162889,0.8972088336162889,True,0.2628978896754478,,,,,,
33,72,9,5.11,101.18,5,2.32,28.79071429,,1259.0782601898793,4.758333333333333,,,4.199430971855179,,1543.2093362509117,694.4442013129103,3173.61,465.1882610641265,229.25594024878382,-0.12,1.1364691609608346,391.0,,,0.297,,-1.2200000000000002,0.8793195411704685,0.9993195411704685,True,0.38458318031978966,,,,,,
34,72,10,5.68,101.18,5,3.23,26.63607143,,1162.4699588681212,4.758333333333333,,,4.189956013374877,,1543.2093362509117,694.4442013129103,3173.61,496.4581273650058,197.9860739479045,0.0,1.0,391.0,,,0.297,,-1.2200000000000002,0.9148933971453199,0.9148933971453199,True,0.4765377936129307,,,,,,
35,72,11,5.74,101.18,5,3.34,26.11285714,,1139.3902972832047,4.758333333333333,,,4.190081809820293,,1543.2093362509117,694.4442013129103,3173.61,513.3059653633533,181.13823594955704,0.0,1.0,391.0,,,0.297,,-1.2200000000000002,0.9187108001695915,0.9187108001695915,True,0.5324951746211265,,,,,,
36,72,12,5.98,101.18,5,3.98,26.03485714,,1135.0101614610046,4.758333333333333,,,4.190595029210083,,1543.2093362509117,694.4442013129103,3173.61,517.9796755224626,176.46452579044774,0.0,1.0,391.0,,,0.297,,-1.2200000000000002,0.934121174222929,0.934121174222929,True,0.5486419203026134,,,,,,
37,72,13,6.44,101.18,5,3.97,27.473,,1195.7365882381146,4.758333333333333,,,4.190731848297065,,1543.2093362509117,694.4442013129103,3173.61,510.78182609748353,183.6623752154268,0.01,0.989629736452301,391.0,,,0.297,,-1.2100000000000002,0.9642956472614275,0.9542956472614275,True,0.5238776566229566,,,,,,
38,72,14,6.62,101.18,5,3.58,29.21878571,,1270.9020692490176,4.758333333333333,,,4.1920431227454085,,1543.2093362509117,694.4442013129103,3173.61,491.1947647389883,203.249436573922,0.0,1.0,391.0,,,0.297,,-1.2100000000000002,0.9763347919698588,0.9763347919698588,True,0.4598900272270442,,,,,,
39,72,15,6.1,101.18,5,3.23,26.29342857,,1145.790203720884,4.758333333333333,,,4.190857694015543,,1543.2093362509117,694.4442013129103,3173.61,456.0257977755377,238.41840353737263,0.0,1.0,391.0,,,0.297,,-1.2100000000000002,0.941911439252417,0.941911439252417,True,0.3610396833136502,,,,,,
40,72,16,5.88,101.18,5,3.4,30.58507143,,1333.8582102819978,4.758333333333333,,,4.180166657137119,,1543.2093362509117,694.4442013129103,3173.61,388.59240266584794,305.85179864706237,0.11,0.8814236985323016,391.0,,,0.297,,-1.1,0.9276727190716544,0.8176727190716544,True,0.23406311246255532,,,,,,
41,72,17,5.58,101.18,5,2.71,30.64828571,,1338.0536871294846,4.758333333333333,,,4.1832827756354405,,1543.2093362509117,694.4442013129103,3173.61,163.03865740051606,531.4055439123943,0.07,0.9229551856182654,391.0,,,0.297,,-1.03,0.9085621214319566,0.8385621214319565,True,0.08761355813855679,,,,,,
42,72,18,5.52,101.18,5,2.26,31.78157143,,1387.829822677398,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.07,0.9226332906403587,391.0,,,0.297,,-0.96,0.9047819220874834,0.8347819220874835,True,0.0,,,,,,
43,72,19,5.54,101.18,5,1.94,31.10035714,,1357.985263183324,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.09,1.09933331396202,391.0,,,0.297,,-1.05,0.9060404451462412,0.9960404451462411,True,0.0,,,,,,
44,72,20,5.48,101.18,5,1.29,27.71071429,,1210.2383534599667,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.1,1.110831630922373,391.0,,,0.297,,-1.1500000000000001,0.9022694980464607,1.0022694980464608,True,0.0,,,,,,
45,72,21,4.39,101.18,5,1.27,26.10742857,,1144.69445961939,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.1,1.11959850126108,391.0,,,0.297,,-1.2500000000000002,0.8361308791127988,0.9361308791127988,True,0.0,,,,,,
46,72,22,4.49,101.18,5,0.96,26.09778571,,1143.8595209366638,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.1,1.1187627118390147,391.0,,,0.297,,-1.3500000000000003,0.8420151279094408,0.9420151279094408,True,0.0,,,,,,
47,72,23,3.64,101.18,5,0.65,25.79321429,,1133.9819372952045,4.758333333333333,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.1,1.1260806846100229,391.0,,,0.297,,-1.4500000000000004,0.793142901383409,0.893142901383409,True,0.0,,,,,,
48,73,0,0.97,101.18,5,0.57,25.123,,1115.274677353402,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.09,1.1372990804014855,391.0,,,0.297,,-0.09,0.6555032978868092,0.7455032978868091,True,0.0,,,,,,
49,73,1,1.81,101.18,5,1.28,24.77342857,,1096.3965569107556,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.11,1.1579706591474617,391.0,,,0.297,,-0.2,0.6963318415815293,0.8063318415815293,True,0.0,,,,,,
50,73,2,4.27,101.18,5,3.38,25.40285714,,1114.2839236549328,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,-0.1,1.1206101405908782,391.0,,,0.297,,-0.30000000000000004,0.8291176804047524,0.9291176804047524,True,0.0,,,,,,
51,73,3,4.14,101.18,5,4.44,25.46164286,,1117.3861416817695,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.0,1.0,391.0,,,0.297,,-0.30000000000000004,0.821578652039042,0.821578652039042,True,0.0,,,,,,
52,73,4,3.66,101.18,5,3.37,25.21907143,,1108.6600104467454,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.0,1.0,391.0,,,0.297,,-0.30000000000000004,0.794263433354079,0.794263433354079,True,0.0,,,,,,
53,73,5,3.25,101.18,5,2.81,25.25185714,,1111.7479858288473,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.0,1.0,391.0,,,0.297,,-0.30000000000000004,0.7715695588123916,0.7715695588123916,True,0.0,,,,,,
54,73,6,3.01,101.18,5,3.75,23.9655,,1056.0312902156043,8.967499999999998,,,0.0,,1543.2093362509117,694.4442013129103,3173.61,0.0,0.0,0.07,0.9077189893140394,391.0,,,0.297,,-0.23000000000000004,0.7585525936448109,0.6885525936448109,True,0.0,,,,,,
