,year,month,day,hour,air_temperature,relative_humidity,ambient_pressure,photosynthetically_active_radiation,friction_velocity,wind_speed,wind_direction,sensible_heat_flux,precipitation,leaf_wetness_filled,soil_moisture,soil_temperature,leaf_area_index,canopy_height,AQMEII_Flag
0,1991,10,28,0,12.3,0.996,0.0,6,0.975,4.9,347.7,-8.4,1.11E-06,1,0.399,13,3.3093,24,1
1,1991,10,28,1,9.6,0.986,0.0,6,1.116,4.6,337.2,-43.2,1.11E-06,1,0.399,12.6,3.3093,24,1
2,1991,10,28,2,7.6,0.94,0.0,6,0.0,0.0,0.0,0.0,1.11E-06,1,0.399,12.1,3.3093,24,0.0
3,1991,10,28,3,5.7,0.923,0.0,6,0.0,0.0,0.0,0.0,1.11E-06,1,0.399,11.4,3.3093,24,0.0
4,1991,10,28,4,4.9,0.896,0.0,7,1.032,5,348.2,-34.1,1.11E-06,1,0.399,10.8,3.3093,24,1
5,1991,10,28,5,4.6,0.873,0.0,40,0.81,3.8,350.6,-37.8,1.11E-06,1,0.399,10.4,3.3093,24,1
6,1991,10,28,6,4.7,0.826,0.0,277,0.0,5.8,347.9,0.0,1.11E-06,0,0.399,10,3.3093,24,0.0
7,1991,10,28,7,5.4,0.756,0.0,592,1.071,4.8,356,128,1.11E-06,0,0.399,9.7,3.3093,24,1
8,1991,10,28,8,6.3,0.695,0.0,857,0.972,4.5,351.9,193,1.11E-06,0,0.399,9.7,3.3093,24,1
9,1991,10,28,9,7.5,0.648,0.0,1028,0.844,4.7,1.9,210,1.11E-06,0,0.399,10.1,2.0474,24,1
10,1991,10,28,10,9,0.571,0.0,1097,0.946,5.1,17.2,179,1.11E-06,0,0.399,10.6,2.0474,24,1
11,1991,10,28,11,9.8,0.535,0.0,1055,0.841,5.1,13.1,152,1.11E-06,0,0.399,10.9,2.0474,24,1
12,1991,10,28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11E-06,0.0,0.399,0.0,2.362875,24,0.0
13,1991,10,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11E-06,0.0,0.399,0.0,2.67835,24,0.0
14,1991,10,28,14,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11E-06,0.0,0.399,10.8,2.993825,24,0.0
15,1991,10,28,15,10.2,0.527,0.0,240,0.765,4.5,352.3,-11.5,1.11E-06,0,0.399,10.6,3.3093,24,1
16,1991,10,28,16,8.2,0.627,0.0,38,0.855,4.4,343.2,-22.4,1.11E-06,0,0.399,10.2,3.3093,24,1
17,1991,10,28,17,6.8,0.655,0.0,10,0.669,3.8,341.8,-22.3,1.11E-06,0,0.399,9.9,3.3093,24,1
18,1991,10,28,18,5.7,0.648,0.0,10,0.799,3.8,346.7,-66,1.11E-06,0,0.399,9.4,3.3093,24,1
19,1991,10,28,19,4.5,0.679,0.0,10,0.474,2.5,358,-44.8,1.11E-06,0,0.399,9.1,3.3093,24,1
20,1991,10,28,20,3.5,0.708,0.0,9,0.4,2.8,4.2,-27.3,1.11E-06,0,0.399,8.7,2.0474,24,1
21,1991,10,28,21,2.7,0.743,0.0,9,0.411,3.1,354.3,-8.6,1.11E-06,0,0.399,8.3,3.3093,24,1
22,1991,10,28,22,2.1,0.757,0.0,9,0.545,3.1,13.8,-5.9,1.11E-06,0,0.399,8,2.0474,24,1
23,1991,10,28,23,1.5,0.763,0.0,9,0.489,2.9,28.3,-14.1,1.11E-06,0,0.399,7.7,2.0474,24,0.0
24,1991,10,29,0,0.5,0.752,0.0,9,0.376,2.4,15.6,-30.2,0,0,0.399,7.4,1.9782,24,1
25,1991,10,29,1,-0.3,0.779,0.0,9,0.333,2,14.7,-39.5,0,0,0.399,7.1,1.9782,24,1
26,1991,10,29,2,-0.7,0.796,0.0,9,0.429,2.2,28.6,-49.3,0,0,0.399,6.8,1.9782,24,1
27,1991,10,29,3,-0.7,0.827,0.0,9,0.518,3,5.5,-58.2,0,0,0.399,6.6,1.9782,24,1
28,1991,10,29,4,-1.4,0.874,0.0,8,0.478,3,342.1,-36.2,0,1,0.399,6.3,3.2572,24,1
29,1991,10,29,5,-1.9,0.869,0.0,8,0.585,3.4,340.6,-32,0,1,0.399,6.1,3.2572,24,1
30,1991,10,29,6,-2.1,0.859,0.0,82,0.494,2.8,349.7,-12.9,0,1,0.399,6,3.2572,24,1
31,1991,10,29,7,-1.4,0.807,0.0,360,0.455,2.2,340.6,21.8,0,0,0.399,5.9,3.2572,24,1
32,1991,10,29,8,0.2,0.693,0.0,674,0.536,2.9,350.4,80.3,0,0,0.399,5.9,3.2572,24,1
33,1991,10,29,9,3.6,0.405,0.0,919,0.934,4.2,22.4,124,0,0,0.399,6.4,1.9782,24,1
