mm,mdd,dd,hr,Ts_C,VPD,u,"precip, mm","P, kPa","O3, ppb","PAR, W m-2"
4,10,100,0,7.12,0.09748,0.61,0,93.83,36.884,0
4,10,100,1,7.58,0.13882,0.56,0,93.85,36.426,0
4,10,100,2,7.35,0.1325,0.51,0,93.84,35.758,0
4,10,100,3,6.34,0.07351,0.47,0,93.88,34.787,0
4,10,100,4,6.86,0.11943,0.47,0,93.84,33.849,0
4,10,100,5,6.6,0.11259,0.47,0,93.86,32.895,0
4,10,100,6,10.07,0.00582,0.46,0,93.92,30.77,24.11
4,10,100,7,7.58,0.04404,0.8,0,93.89,34.659,246.16
4,10,100,8,8.82,0.03409,0.87,0,93.9,37.996,459.01
4,10,100,9,14.32,0.04941,0.92,0.007,93.88,40.798,650.18
4,10,100,10,11.49,0.0366,0.94,0.007,93.91,44.454,793.73
4,10,100,11,12.91,0.03602,0.98,0.007,93.9,48.137,886.63
4,10,100,12,15.75,0.29727,1.02,0.02,93.76,50.745,897.91
4,10,100,13,14.81,0.09297,0.97,0.02,93.85,51.671,875.35
4,10,100,14,15.29,0.16725,0.93,0.02,93.81,51.435,796.98
4,10,100,15,14.49,0.23601,0.88,0.071,93.79,50.422,674.13
4,10,100,16,15.33,0.24948,0.84,0.071,93.77,48.438,500.65
4,10,100,17,14.91,0.24724,0.77,0.071,93.78,45.389,294.78
4,10,100,18,10.06,0.11226,0.49,0.277,93.92,41.221,71.24
4,10,100,19,13,0.18986,0.43,0.277,93.82,38.987,0
4,10,100,20,11.52,0.13706,0.34,0.277,93.86,36.937,0
4,10,100,21,7.83,0.09479,0.2,0.433,93.98,34.43,0
4,10,100,22,9.31,0.07453,0.2,0.433,93.93,32.466,0
4,10,100,23,8.57,0.06147,0.19,0.433,93.95,31.022,0
4,11,101,0,5.25,0.0501,0.2,0.553,93.97,29.685,0
4,11,101,1,6.97,0.04606,0.15,0.553,93.98,28,0
4,11,101,2,6.11,0.04455,0.11,0.553,93.97,26.084,0
4,11,101,3,3.61,0,0.1,0.013,93.94,23.813,0
4,11,101,4,4.71,0.0484,0.09,0.013,93.96,21.581,0
4,11,101,5,4.16,0.05479,0.1,0.013,93.95,19.595,0
4,11,101,6,11.88,0,0.11,0.08,93.94,17.873,28.94
4,11,101,7,6.37,0.06048,0.52,0.08,93.94,33.779,254.82
4,11,101,8,9.12,0.05885,0.51,0.08,93.94,38.401,470.15
4,11,101,9,16.91,0.05275,0.48,0.03,93.78,41.115,655.29
4,11,101,10,13.57,0.06244,0.53,0.03,93.9,44.451,798.36
4,11,101,11,15.25,0.06905,0.57,0.03,93.85,48.049,891.02
4,11,101,12,18.97,1.41328,0.62,0,93.52,51.857,927.4
4,11,101,13,17.62,1.27863,0.61,0,93.72,55.547,903.78
4,11,101,14,18.31,1.41965,0.61,0,93.64,58.104,823.11
4,11,101,15,16.96,1.29403,0.61,0,93.37,59.437,690.5
4,11,101,16,18.31,1.48661,0.61,0,93.49,59.022,513.6
4,11,101,17,17.64,1.41653,0.6,0,93.44,56.608,304.13
4,11,101,18,10.43,0.41965,0.22,0,93.45,50.39,75.35
4,11,101,19,14.78,0.91511,0.22,0,93.39,46.786,0
4,11,101,20,12.6,0.77301,0.2,0,93.41,43.856,0
4,11,101,21,7.23,0.46228,0.17,0,93.44,40.958,0
4,11,101,22,9.36,0.59823,0.17,0,93.45,38.731,0
4,11,101,23,8.3,0.49341,0.19,0,93.44,37.268,0
4,12,102,0,5.69,0.29271,0.21,0,93.36,36.476,0
4,12,102,1,6.72,0.34274,0.22,0,93.42,36.085,0
4,12,102,2,6.21,0.29088,0.24,0,93.4,35.53,0
4,12,102,3,5.08,0.20287,0.26,0,93.31,34.079,0
4,12,102,4,5.49,0.21199,0.35,0,93.35,31.914,0
4,12,102,5,5.29,0.18015,0.41,0,93.33,29.618,0
4,12,102,6,11.86,0.66344,0.46,0,93.29,27.46,34.03
4,12,102,7,7.34,0.26272,0.86,0,93.31,38.259,260.93
4,12,102,8,9.6,0.39865,0.85,0,93.3,50.006,475.79
4,12,102,9,17.83,1.227,0.81,0,93.22,57.48,660.29
4,12,102,10,13.86,0.81048,0.84,0,93.27,64.552,803.01
4,12,102,11,15.85,1.08541,0.87,0,93.25,69.042,895.21
4,12,102,12,20.22,1.72628,0.91,0,93,71.419,931.14
4,12,102,13,18.65,1.5059,0.87,0,93.17,71.831,907.36
4,12,102,14,19.45,1.62651,0.84,0,93.1,71.497,826.57
4,12,102,15,18.32,1.47702,0.8,0,92.95,70.723,693.81
4,12,102,16,19.59,1.64941,0.79,0,92.99,68.938,517.2
4,12,102,17,18.96,1.55294,0.76,0,92.97,65.738,307.95
4,12,102,18,11.26,0.50701,0.37,0,92.98,59.585,79.25
4,12,102,19,15.96,1.04879,0.32,0,92.96,56.42,0
4,12,102,20,13.61,0.8606,0.27,0,92.97,53.752,0
4,12,102,21,7.98,0.49765,0.18,0,93.06,50.534,0
4,12,102,22,10.16,0.63528,0.19,0,93,47.779,0
4,12,102,23,9.07,0.51488,0.21,0,93.02,45.233,0
4,13,103,0,6.41,0.29337,0.24,0,93,42.091,0
4,13,103,1,7.46,0.3454,0.28,0,93.05,38.186,0
4,13,103,2,6.94,0.28703,0.32,0,93.03,34.068,0
4,13,103,3,5.3,0.15814,0.36,0,92.98,30.481,0
4,13,103,4,6.04,0.19312,0.36,0,93,27.888,0
4,13,103,5,5.67,0.15696,0.37,0,92.99,26.145,0
4,13,103,6,11.96,0.63288,0.37,0,93,24.279,39.03
4,13,103,7,7.52,0.24856,0.74,0,92.98,27.138,266.5
4,13,103,8,9.74,0.39913,0.68,0,92.99,30.463,480.81
4,13,103,9,19.66,1.48755,0.58,0,93.01,31.522,664.63
4,13,103,10,14.53,0.87321,0.51,0,93,42.848,806.98
4,13,103,11,17.09,1.20787,0.57,0,93.01,49.883,898.72
4,13,103,12,21.17,1.81688,0.74,0,92.88,55.314,934.12
4,13,103,13,20.18,1.67039,0.66,0,92.98,59.14,910.24
4,13,103,14,20.68,1.75564,0.59,0,92.94,61.718,829.33
4,13,103,15,19.01,1.51735,0.52,0,92.83,63.311,696.56
4,13,103,16,20.45,1.72573,0.55,0,92.87,63.811,520.14
4,13,103,17,19.73,1.61633,0.55,0,92.85,62.746,311.21
4,13,103,18,12.25,0.47753,0.21,0,92.92,57.886,82.72
4,13,103,19,16.75,1.02121,0.19,0,92.85,55.356,0
4,13,103,20,14.49,0.85173,0.17,0,92.88,53.191,0
4,13,103,21,8.58,0.46927,0.13,0,92.95,50.717,0
4,13,103,22,11.02,0.6629,0.14,0,92.93,48.735,0
4,13,103,23,9.8,0.5526,0.15,0,92.94,47.15,0
4,14,104,0,6.7,0.31599,0.17,0,92.92,45.58,0
4,14,104,1,7.96,0.40013,0.17,0,92.94,43.603,0
4,14,104,2,7.33,0.35152,0.17,0,92.93,42.104,0
4,14,104,3,5.26,0.21191,0.17,0,92.97,41.177,0
4,14,104,4,6.22,0.26953,0.16,0,92.93,40.609,0
4,14,104,5,5.74,0.23593,0.15,0,92.95,40.274,0
4,14,104,6,14.54,0.97986,0.13,0,92.96,39.128,43.92
4,14,104,7,8.35,0.36742,0.49,0,92.97,43.728,271.54
4,14,104,8,11.45,0.57506,0.39,0,92.96,48.677,485.29
4,14,104,9,22.24,1.88844,0.23,0,92.96,51.016,668.61
4,14,104,10,17.11,1.13923,0.22,0,92.96,62.315,810.47
4,14,104,11,19.67,1.50804,0.27,0,92.96,66.225,901.8
4,14,104,12,22.99,2.06955,0.36,0,92.9,69.631,936.3
4,14,104,13,22.5,1.96787,0.34,0,92.95,72.065,912.34
4,14,104,14,22.75,1.99741,0.33,0,92.93,73.608,831.36
4,14,104,15,19.92,1.53113,0.32,0,92.92,74.327,698.9
