,dd,hr,Ts_C,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref
0,100,0,7.12,93.83,0.0,0.61,36.884,,1485.1130262763063,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.09748,0.9035304667637273,391.0,,,,,0.0,1.010474465148001,0.9129944651480011,False,0.0,,,,,,
1,100,1,7.58,93.85,0.0,0.56,36.426,,1464.5807641398885,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.13882,0.8668785373776564,391.0,,,,,0.0,1.04280705203655,0.90398705203655,False,0.0,,,,,,
2,100,2,7.35,93.84,0.0,0.51,35.758,,1438.7480393690726,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.1325,0.8709242084123027,391.0,,,,,0.0,1.0265286648269454,0.8940286648269453,False,0.0,,,,,,
3,100,3,6.34,93.88,0.0,0.47,34.787,,1405.3360133216609,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.07351,0.9232402943181774,391.0,,,,,0.0,0.9576639116453504,0.8841539116453504,False,0.0,,,,,,
4,100,4,6.86,93.84,0.0,0.47,33.849,,1364.3214010885417,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.11943,0.8796787653376693,391.0,,,,,0.0,0.9925928730300032,0.8731628730300032,False,0.0,,,,,,
5,100,5,6.6,93.86,0.0,0.47,32.895,,1327.3844835695245,-11.434166666666671,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.11259,0.8845219638913668,391.0,,,,,0.0,0.9749906024907081,0.8624006024907082,False,0.0,,,,,,
6,100,6,10.07,93.92,0.0,0.46,30.77,,1227.2076474393182,-11.434166666666671,,,0.0,,53.577777777777776,24.11,110.18270000000001,0.208603974012537,23.901396025987463,0.00582,0.9952841598338951,391.0,,,,,0.00582,1.2341385193313303,1.2283185193313304,True,0.030309379038868184,,,,,,
7,100,7,7.58,93.89,0.0,0.8,34.659,,1394.1289082824235,-11.434166666666671,,,1.3215469875083652,,547.0222222222222,246.16,1124.9512,139.8328900526973,106.32710994730269,0.04404,0.9577678345059213,391.0,,,,,0.04986,1.04280705203655,0.99876705203655,True,0.2270024875082312,,,,,,
8,100,8,8.82,93.9,0.0,0.87,37.996,,1521.7978219866295,-11.434166666666671,,,2.688246879405583,,1020.0222222222221,459.01,2097.6757000000002,318.82835141187917,140.18164858812082,0.03409,0.9699527356275865,391.0,,,,,0.08395,1.1345458800335289,1.100455880033529,True,0.4139349725239601,,,,,,
9,100,9,14.32,93.88,0.007,0.92,40.798,,1602.4180076419036,-11.434166666666671,,,3.9325665908518026,,1444.8444444444442,650.18,2971.3226,497.59829627479115,152.5817037252088,0.04941,0.9697361338670613,391.0,,,,,0.13336,1.6326400527599099,1.58323005275991,True,0.5783676941527706,,,,,,
