dd,hr,Ts_C,RH,u,O3,precip,Rn,PPFD
319,0,10.69,1.0,1.42,6.593583333333328,0.0,0.0,0.0
319,1,10.48,1.0,1.31,5.38933928571428,0.0,0.0,0.0
319,2,10.28,1.0,1.21,4.039249999999997,0.0,0.0,0.0
319,3,10.07,1.0,1.18,4.393642857142853,0.0,0.0,0.0
319,4,9.89,1.0,1.22,4.065898809523805,0.0,0.0,0.0
319,5,9.74,1.0,1.3,3.0787202380952357,0.0,0.0,0.0
319,6,9.67,1.0,1.41,2.4223749999999975,0.0,0.007574510985,4.807710444444443
319,7,11.49,1.0,1.87,3.732410714285711,0.0,0.07892369978,50.094626111111104
319,8,14.34,0.9094,3.32,9.15745238095237,0.03,0.244007461,154.87695788888885
319,9,16.88,0.8019,3.5,16.385083333333313,0.08,0.3877202815,246.09467869444444
319,10,18.73,0.7056,3.75,22.125553571428544,0.11,0.5352879856,339.75917974999993
319,11,19.51,0.6575,3.79,29.097261904761872,0.08,0.5527364127,350.8340841666666
319,12,19.4,0.6556000000000001,3.83,33.35874999999997,0.07,0.5418480537,343.9230007222222
319,13,18.61,0.6906,4.19,34.767678571428554,0.05,0.5038402396,319.7985965277777
319,14,17.4,0.7494,4.71,37.568809523809485,0.06,0.3457223228,219.43764099999999
319,15,16.12,0.81,4.99,38.89684523809522,0.07,0.1155112925,73.31758427777777
319,16,15.01,0.8612000000000001,4.89,36.39713095238092,0.09,0.03922514617,24.89707194444444
319,17,14.15,0.8969,4.92,24.456190476190447,0.08,0.0,0.0
319,18,13.68,0.9087999999999999,4.9,13.383428571428562,0.06,0.0,0.0
319,19,13.39,0.9112,4.85,9.505732142857132,0.08,0.0,0.0
319,20,13.24,0.9081,4.65,10.97995833333332,0.16,0.0,0.0
319,21,13.05,0.9081,4.79,11.985803571428564,0.16,0.0,0.0
319,22,12.64,0.9225,4.47,10.763607142857136,0.2,0.0,0.0
319,23,12.37,0.9181,4.84,9.316827380952377,0.53,0.0,0.0
320,0,12.04,0.9275,4.6,6.593583333333328,0.94,0.0,0.0
320,1,11.76,0.9262,4.98,5.38933928571428,1.06,0.0,0.0
320,2,11.51,0.9218999999999999,5.27,4.039249999999997,0.97,0.0,0.0
320,3,11.15,0.9331,5.14,4.393642857142853,1.06,0.0,0.0
320,4,10.83,0.9369,5.02,4.065898809523805,1.35,0.0,0.0
320,5,10.57,0.9356,5.03,3.0787202380952357,1.41,0.0,0.0
320,6,10.3,0.9356,4.85,2.4223749999999975,1.08,0.01068547085,6.782305805555555
320,7,10.23,0.9319,4.65,3.732410714285711,0.58,0.02042412783,12.963647805555555
320,8,10.64,0.9112,4.7,9.15745238095237,0.29,0.2013332067,127.7906603333333
320,9,11.3,0.8637999999999999,5.02,16.385083333333313,0.16,0.2752523188,174.70876347222222
