,Tleaf_C,g_sv,f_LS,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,fO3_h_out,fO3_d_out,fO3_l,c_i,Canopy_A_n
0,3.28,18592.076604134727,1.0,-0.08589184680700843,15.469529459519059,0.0,10.213784068196363,A_j,0.08589184680700843,1,1.0,1.0,398.4699034120506,-0.0
1,3.54,18557.48679399145,1.0,-0.08777333576634706,15.857593944659964,0.0,10.524949797285746,A_j,0.08777333576634706,1,1.0,1.0,398.6476221114631,-0.0
2,3.41,18570.434562977716,1.0,-0.08682793732280705,15.662665811793097,0.0,10.3682803718378,A_j,0.08682793732280705,1,1.0,1.0,398.56002707379076,-0.0
3,3.09,18606.14504557339,1.0,-0.0845402864760118,15.190592817303537,0.0,9.991834007336859,A_j,0.0845402864760118,1,1.0,1.0,398.3468540034579,-0.0
4,3.22,18589.632676682777,1.0,-0.08546292150673387,15.38106671383673,0.0,10.143203432488162,A_j,0.08546292150673387,1,1.0,1.0,398.43511332992557,-0.0
5,3.15,18596.873204595697,1.0,-0.08496498161532538,15.278307997122907,0.0,10.06143347795403,A_j,0.08496498161532538,1,1.0,1.0,398.3905770692336,-0.0
6,2.66,18653.81894690004,1.0,-0.08155292264011568,14.57354805069409,0.0,9.506009656027995,A_j,0.08155292264011568,1,1.0,1.0,398.074891881694,-0.0
7,2.94,18614.951250598282,1.0,-0.08348701727278554,14.973092875243356,0.0,9.81979241334215,A_j,0.08348701727278554,1,1.0,1.0,398.2491458496354,-0.0
8,2.8,175562.35364317184,1.0,8.938009423422876,13.70284417603814,9.02052421740605,9.661714010780514,A_j,0.08251479398317399,1,1.0,1.0,302.1797881022542,0.0
9,5.08,243122.22526267372,1.0,12.45652674274089,16.698926241877157,20.102749046447325,12.55623751395493,A_p,0.09971077121403939,1,1.0,1.0,298.6804051127591,0.0
10,3.46,203055.81288751142,1.0,10.341088716446318,14.533664563704368,19.420363649378654,10.428279162492194,A_p,0.08719044604587606,1,1.0,1.0,301.31190067873894,0.0
11,4.26,222275.19885610975,1.0,11.340098664761056,15.590313003005635,20.649877873956385,11.433280409593321,A_p,0.09318174483226521,1,1.0,1.0,300.62376090822335,0.0
