,t_l_estimate,t_lse_constant,t_lma,t_lem,t_lep,t_lse,gamma_1,gamma_2,gamma_3,g_sto_0,m,V_cmax_25,J_max_25,PARsun,PARshade,LAI,D_0,g_bv,td_dd,fO3_d_prev,O3up_acc,Tleaf_C,O3up,eact,sinB,c_a,is_daylight
0,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1499111.7369962786,0.0,1.0,0.0,3.28,0.0,0.05699,0.0,391.0,False
1,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1499111.7369962786,0.0,1.0,0.0,3.54,0.0,0.07755,0.0,391.0,False
2,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1499111.7369962786,0.0,1.0,0.0,3.41,0.0,0.07661,0.0,391.0,False
3,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1499111.7369962786,0.0,1.0,0.0,3.09,0.0,0.06531,0.0,391.0,False
4,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1470000.0,0.0,1.0,0.0,3.22,0.0,0.07418,0.0,391.0,False
5,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1440299.9687565085,0.0,1.0,0.0,3.15,0.0,0.07272,0.0,391.0,False
6,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1394564.4481342551,0.0,1.0,0.0,2.66,0.0,0.04788,0.0,391.0,False
7,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1555701.7709059792,0.0,1.0,0.0,2.94,0.0,0.07694,0.0,391.0,False
8,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,52.736931267218296,32.14377829285742,0.0,2.27,1663115.1493507598,0.0,1.0,0.0,2.8,0.0,0.09764,0.04834260462454243,391.0,True
9,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,338.8818142862382,105.96983699887605,0.0,2.27,1650070.907567308,0.0,1.0,0.0,5.08,0.0,0.25387,0.20156578436587952,391.0,True
10,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,424.1764099079546,138.34543081047283,0.0,2.27,1726858.998297197,0.0,1.0,0.0,3.46,0.0,0.16842000000000001,0.32374560290330845,391.0,True
11,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,458.993133483374,153.26715808392944,0.0,2.27,1776207.758118402,0.0,1.0,0.0,4.26,0.0,0.22351999999999997,0.40655570751520054,391.0,True
12,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,471.6506482543361,158.4458897724022,0.0,2.27,1812337.7168728788,0.0,1.0,0.0,5.84,0.0,0.33011999999999997,0.44435272642242374,391.0,True
13,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,459.214943662291,154.0887194629699,0.0,2.27,1751707.1673085087,0.0,1.0,0.0,5.34,0.0,0.30124,0.4345608552489779,391.0,True
14,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,422.6393708226868,140.21581999682712,0.0,2.27,1676057.8748957326,0.0,1.0,0.0,5.59,0.0,0.32003000000000004,0.37784739383350097,391.0,True
15,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,277.9976972750815,89.1479339508227,0.0,2.27,1596828.7322064317,0.0,1.0,0.0,3.38,0.0,0.19115,0.27807727084803147,391.0,True
16,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,137.14161481457683,43.66020511689119,0.0,2.27,1484627.2259392252,0.0,1.0,0.0,5.02,0.0,0.29236999999999996,0.14204965529610525,391.0,True
17,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1331141.6153062002,0.0,1.0,0.0,4.2,0.0,0.25039,0.0,391.0,False
18,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,464854.8160447518,0.0,1.0,0.0,3.48,0.0,0.1963,0.0,391.0,False
19,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,207889.39366884498,0.0,1.0,0.0,3.42,0.0,0.0,0.0,391.0,False
20,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,464854.8160447518,0.0,1.0,0.0,3.45,0.0,0.03397,0.0,391.0,False
21,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,906168.8584364394,0.0,1.0,0.0,3.19,0.0,0.13065,0.0,391.0,False
22,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,997002.5075194143,0.0,1.0,0.0,3.38,0.0,0.13021,0.0,391.0,False
23,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1080224.9765673815,0.0,1.0,0.0,3.28,0.0,0.10994000000000001,0.0,391.0,False
24,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1176000.0,0.0,1.0,0.0,2.62,0.0,0.059120000000000006,0.0,391.0,False
25,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1138657.1037849807,0.0,1.0,0.0,3.01,0.0,0.07699,0.0,391.0,False
26,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1100047.2717115388,0.0,1.0,0.0,2.82,0.0,0.06619,0.0,391.0,False
27,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,1100047.2717115388,0.0,1.0,0.0,1.62,0.0,0.0058200000000000005,0.0,391.0,False
28,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,997002.5075194143,0.0,1.0,0.0,2.3,0.0,0.044039999999999996,0.0,391.0,False
29,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,881999.9999999999,0.0,1.0,0.0,1.96,0.0,0.034089999999999995,0.0,391.0,False
30,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,657403.9853849382,0.0,1.0,0.0,1.87,0.0,0.04941,0.0,391.0,False
31,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,0.0,0.0,0.0,2.27,657403.9853849382,0.0,1.0,0.0,1.7,0.0,0.0366,0.0,391.0,False
32,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,58.00061651404703,35.56839264699673,0.0,2.27,657403.9853849382,0.0,1.0,0.0,1.79,0.0,0.036019999999999996,0.047948240219174876,391.0,True
33,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,336.16387225271666,104.91132413502484,0.0,2.27,689491.1166940442,0.0,1.0,0.0,6.37,0.0,0.29727,0.20146031408336806,391.0,True
34,800,0.33,680.0,120.0,104.39999999999998,575.6,0.06,0.0045,0.5,20000,8.12,180.0,400,420.1071937679462,136.92480827647123,0.0,2.27,1583238.453297544,0.0,1.0,0.0,3.38,0.0,0.09297000000000001,0.3239876222689517,391.0,True
