,g_sv_per_layer,g_sv_sunlit,A_n,A_n_sunlit,A_c,A_j,A_p,A_n_limit_factor,R_d,c_i,c_i_sunlit,f_VPD,v_cmax,j_max,f_VPD_alt,loop_iterations
0,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
1,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
2,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
3,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
4,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
5,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
6,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
7,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
8,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
9,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
10,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
11,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
12,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
13,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
14,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
15,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
16,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
17,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
18,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
19,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
20,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
21,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
22,"[20000, 20000, 20000]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",0.0,0.0,0.0,"[1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0]",0
